Kernel type,Num cols,Init buffer size,Num bytes,Num Blocks,Num threads,Kernel Time,Malloc Count,Kernel malloc,Vec malloc,Next buf malloc,Free,Result total len
WarpLevel (Gallatin),5,1024,400000000,1,128,1885.882,65,4,5,56,64,80000786
PrefixSum,5,1024,400000000,1,128,2685.931,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,1,256,944.794,121,8,9,104,120,80000786
PrefixSum,5,1024,400000000,1,256,1414.055,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,8,64,505.440,225,16,17,192,224,80000786
PrefixSum,5,1024,400000000,8,64,682.001,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,8,128,258.397,417,32,33,352,416,80000786
PrefixSum,5,1024,400000000,8,128,350.388,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,8,256,120.049,769,64,65,640,768,80000786
PrefixSum,5,1024,400000000,8,256,173.008,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,32,64,117.039,769,64,65,640,768,80000786
PrefixSum,5,1024,400000000,32,64,170.067,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,32,128,61.300,1410,128,130,1152,1409,80000786
PrefixSum,5,1024,400000000,32,128,90.303,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,32,256,61.071,2563,256,259,2048,2562,80000786
PrefixSum,5,1024,400000000,32,256,62.113,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,128,64,33.679,2563,256,259,2048,2562,80000786
PrefixSum,5,1024,400000000,128,64,53.649,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,128,128,33.373,4611,512,515,3584,4610,80000786
PrefixSum,5,1024,400000000,128,128,61.309,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,1024,400000000,128,256,40.017,8196,1024,1028,6144,8195,80000786
PrefixSum,5,1024,400000000,128,256,96.751,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,4000,1,64,0.068,5,2,3,0,4,784
PrefixSum,1,4096,4000,1,64,0.063,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,1,128,0.050,9,4,5,0,8,784
PrefixSum,1,4096,4000,1,128,0.051,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,1,256,0.051,17,8,9,0,16,784
PrefixSum,1,4096,4000,1,256,0.047,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,8,64,0.044,33,16,17,0,32,784
PrefixSum,1,4096,4000,8,64,0.044,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,8,128,0.050,65,32,33,0,64,784
PrefixSum,1,4096,4000,8,128,0.044,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,8,256,0.069,129,64,65,0,128,784
PrefixSum,1,4096,4000,8,256,0.046,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,32,64,0.088,129,64,65,0,128,784
PrefixSum,1,4096,4000,32,64,0.044,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,32,128,0.108,257,128,129,0,256,784
PrefixSum,1,4096,4000,32,128,0.064,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,32,256,0.158,513,256,257,0,512,784
PrefixSum,1,4096,4000,32,256,0.043,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,128,64,0.316,513,256,257,0,512,784
PrefixSum,1,4096,4000,128,64,0.051,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,128,128,0.394,1025,512,513,0,1024,784
PrefixSum,1,4096,4000,128,128,0.043,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,4000,128,256,0.542,2049,1024,1025,0,2048,784
PrefixSum,1,4096,4000,128,256,0.043,0,0,0,0,0,784
WarpLevel (Gallatin),1,4096,40000,1,64,0.210,5,2,3,0,4,7962
PrefixSum,1,4096,40000,1,64,0.137,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,1,128,0.124,9,4,5,0,8,7962
PrefixSum,1,4096,40000,1,128,0.094,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,1,256,0.072,17,8,9,0,16,7962
PrefixSum,1,4096,40000,1,256,0.064,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,8,64,0.045,33,16,17,0,32,7962
PrefixSum,1,4096,40000,8,64,0.048,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,8,128,0.042,65,32,33,0,64,7962
PrefixSum,1,4096,40000,8,128,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,8,256,0.051,129,64,65,0,128,7962
PrefixSum,1,4096,40000,8,256,0.042,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,32,64,0.068,129,64,65,0,128,7962
PrefixSum,1,4096,40000,32,64,0.042,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,32,128,0.079,257,128,129,0,256,7962
PrefixSum,1,4096,40000,32,128,0.041,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,32,256,0.115,513,256,257,0,512,7962
PrefixSum,1,4096,40000,32,256,0.040,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,128,64,0.224,513,256,257,0,512,7962
PrefixSum,1,4096,40000,128,64,0.041,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,128,128,0.288,1025,512,513,0,1024,7962
PrefixSum,1,4096,40000,128,128,0.039,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,40000,128,256,0.423,2049,1024,1025,0,2048,7962
PrefixSum,1,4096,40000,128,256,0.040,0,0,0,0,0,7962
WarpLevel (Gallatin),1,4096,4000000,1,64,16.788,17,2,3,12,16,799948
PrefixSum,1,4096,4000000,1,64,12.385,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,1,128,8.716,29,4,5,20,28,799948
PrefixSum,1,4096,4000000,1,128,6.509,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,1,256,4.866,49,8,9,32,48,799948
PrefixSum,1,4096,4000000,1,256,3.466,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,8,64,2.164,81,16,17,48,80,799948
PrefixSum,1,4096,4000000,8,64,1.673,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,8,128,1.109,129,32,33,64,128,799948
PrefixSum,1,4096,4000000,8,128,0.994,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,8,256,0.651,257,64,65,128,256,799948
PrefixSum,1,4096,4000000,8,256,0.601,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,32,64,0.636,257,64,65,128,256,799948
PrefixSum,1,4096,4000000,32,64,0.615,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,32,128,0.385,385,128,129,128,384,799948
PrefixSum,1,4096,4000000,32,128,0.362,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,32,256,0.330,513,256,257,0,512,799948
PrefixSum,1,4096,4000000,32,256,0.427,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,128,64,0.375,513,256,257,0,512,799948
PrefixSum,1,4096,4000000,128,64,0.270,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,128,128,0.367,1025,512,513,0,1024,799948
PrefixSum,1,4096,4000000,128,128,0.319,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,4000000,128,256,0.526,2049,1024,1025,0,2048,799948
PrefixSum,1,4096,4000000,128,256,0.456,0,0,0,0,0,799948
WarpLevel (Gallatin),1,4096,40000000,1,64,164.799,23,2,3,18,22,8000738
PrefixSum,1,4096,40000000,1,64,124.365,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,1,128,83.561,41,4,5,32,40,8000738
PrefixSum,1,4096,40000000,1,128,64.063,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,1,256,43.806,73,8,9,56,72,8000738
PrefixSum,1,4096,40000000,1,256,33.911,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,8,64,20.747,129,16,17,96,128,8000738
PrefixSum,1,4096,40000000,8,64,15.915,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,8,128,10.494,225,32,33,160,224,8000738
PrefixSum,1,4096,40000000,8,128,8.188,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,8,256,5.548,385,64,65,256,384,8000738
PrefixSum,1,4096,40000000,8,256,4.524,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,32,64,5.309,385,64,65,256,384,8000738
PrefixSum,1,4096,40000000,32,64,4.299,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,32,128,2.866,769,128,129,512,768,8000738
PrefixSum,1,4096,40000000,32,128,2.539,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,32,256,2.877,1281,256,257,768,1280,8000738
PrefixSum,1,4096,40000000,32,256,1.779,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,128,64,1.829,1281,256,257,768,1280,8000738
PrefixSum,1,4096,40000000,128,64,1.631,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,128,128,1.654,2050,512,514,1024,2049,8000738
PrefixSum,1,4096,40000000,128,128,3.340,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,40000000,128,256,2.157,3074,1024,1026,1024,3073,8000738
PrefixSum,1,4096,40000000,128,256,5.911,0,0,0,0,0,8000738
WarpLevel (Gallatin),1,4096,400000000,1,64,1684.414,31,2,3,26,30,80000786
PrefixSum,1,4096,400000000,1,64,1233.731,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,1,128,830.244,57,4,5,48,56,80000786
PrefixSum,1,4096,400000000,1,128,636.404,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,1,256,432.067,105,8,9,88,104,80000786
PrefixSum,1,4096,400000000,1,256,336.440,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,8,64,207.900,193,16,17,160,192,80000786
PrefixSum,1,4096,400000000,8,64,156.199,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,8,128,104.988,353,32,33,288,352,80000786
PrefixSum,1,4096,400000000,8,128,81.214,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,8,256,54.749,641,64,65,512,640,80000786
PrefixSum,1,4096,400000000,8,256,44.505,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,32,64,52.590,641,64,65,512,640,80000786
PrefixSum,1,4096,400000000,32,64,42.238,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,32,128,28.668,1153,128,129,896,1152,80000786
PrefixSum,1,4096,400000000,32,128,24.776,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,32,256,27.905,2050,256,258,1536,2049,80000786
PrefixSum,1,4096,400000000,32,256,16.925,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,128,64,15.179,2050,256,258,1536,2049,80000786
PrefixSum,1,4096,400000000,128,64,15.451,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,128,128,15.107,3587,512,515,2560,3586,80000786
PrefixSum,1,4096,400000000,128,128,35.030,0,0,0,0,0,80000786
WarpLevel (Gallatin),1,4096,400000000,128,256,18.184,6148,1024,1028,4096,6147,80000786
PrefixSum,1,4096,400000000,128,256,61.465,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,4000,1,64,0.040,5,2,3,0,4,784
PrefixSum,2,4096,4000,1,64,0.053,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,1,128,0.034,9,4,5,0,8,784
PrefixSum,2,4096,4000,1,128,0.045,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,1,256,0.035,17,8,9,0,16,784
PrefixSum,2,4096,4000,1,256,0.041,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,8,64,0.031,33,16,17,0,32,784
PrefixSum,2,4096,4000,8,64,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,8,128,0.037,65,32,33,0,64,784
PrefixSum,2,4096,4000,8,128,0.038,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,8,256,0.048,129,64,65,0,128,784
PrefixSum,2,4096,4000,8,256,0.039,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,32,64,0.067,129,64,65,0,128,784
PrefixSum,2,4096,4000,32,64,0.050,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,32,128,0.082,257,128,129,0,256,784
PrefixSum,2,4096,4000,32,128,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,32,256,0.120,513,256,257,0,512,784
PrefixSum,2,4096,4000,32,256,0.041,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,128,64,0.263,513,256,257,0,512,784
PrefixSum,2,4096,4000,128,64,0.041,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,128,128,0.331,1025,512,513,0,1024,784
PrefixSum,2,4096,4000,128,128,0.040,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,4000,128,256,0.486,2049,1024,1025,0,2048,784
PrefixSum,2,4096,4000,128,256,0.041,0,0,0,0,0,784
WarpLevel (Gallatin),2,4096,40000,1,64,0.218,5,2,3,0,4,7962
PrefixSum,2,4096,40000,1,64,0.193,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,1,128,0.125,9,4,5,0,8,7962
PrefixSum,2,4096,40000,1,128,0.162,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,1,256,0.085,17,8,9,0,16,7962
PrefixSum,2,4096,40000,1,256,0.083,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,8,64,0.053,33,16,17,0,32,7962
PrefixSum,2,4096,40000,8,64,0.057,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,8,128,0.050,65,32,33,0,64,7962
PrefixSum,2,4096,40000,8,128,0.050,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,8,256,0.058,129,64,65,0,128,7962
PrefixSum,2,4096,40000,8,256,0.046,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,32,64,0.075,129,64,65,0,128,7962
PrefixSum,2,4096,40000,32,64,0.046,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,32,128,0.089,257,128,129,0,256,7962
PrefixSum,2,4096,40000,32,128,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,32,256,0.129,513,256,257,0,512,7962
PrefixSum,2,4096,40000,32,256,0.079,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,128,64,0.256,513,256,257,0,512,7962
PrefixSum,2,4096,40000,128,64,0.044,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,128,128,0.328,1025,512,513,0,1024,7962
PrefixSum,2,4096,40000,128,128,0.041,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,40000,128,256,0.461,2049,1024,1025,0,2048,7962
PrefixSum,2,4096,40000,128,256,0.041,0,0,0,0,0,7962
WarpLevel (Gallatin),2,4096,4000000,1,64,22.558,17,2,3,12,16,799948
PrefixSum,2,4096,4000000,1,64,23.154,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,1,128,11.113,29,4,5,20,28,799948
PrefixSum,2,4096,4000000,1,128,11.838,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,1,256,5.753,49,8,9,32,48,799948
PrefixSum,2,4096,4000000,1,256,6.104,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,8,64,2.784,81,16,17,48,80,799948
PrefixSum,2,4096,4000000,8,64,3.676,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,8,128,1.430,129,32,33,64,128,799948
PrefixSum,2,4096,4000000,8,128,1.598,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,8,256,0.813,257,64,65,128,256,799948
PrefixSum,2,4096,4000000,8,256,0.900,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,32,64,0.797,257,64,65,128,256,799948
PrefixSum,2,4096,4000000,32,64,0.877,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,32,128,0.466,385,128,129,128,384,799948
PrefixSum,2,4096,4000000,32,128,0.648,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,32,256,0.413,513,256,257,0,512,799948
PrefixSum,2,4096,4000000,32,256,0.379,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,128,64,0.413,513,256,257,0,512,799948
PrefixSum,2,4096,4000000,128,64,0.366,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,128,128,0.405,1025,512,513,0,1024,799948
PrefixSum,2,4096,4000000,128,128,0.456,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,4000000,128,256,0.483,2049,1024,1025,0,2048,799948
PrefixSum,2,4096,4000000,128,256,0.588,0,0,0,0,0,799948
WarpLevel (Gallatin),2,4096,40000000,1,64,216.910,23,2,3,18,22,8000738
PrefixSum,2,4096,40000000,1,64,266.631,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,1,128,126.450,41,4,5,32,40,8000738
PrefixSum,2,4096,40000000,1,128,143.179,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,1,256,58.532,73,8,9,56,72,8000738
PrefixSum,2,4096,40000000,1,256,62.467,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,8,64,28.364,129,16,17,96,128,8000738
PrefixSum,2,4096,40000000,8,64,30.304,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,8,128,14.569,225,32,33,160,224,8000738
PrefixSum,2,4096,40000000,8,128,15.265,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,8,256,7.524,385,64,65,256,384,8000738
PrefixSum,2,4096,40000000,8,256,8.322,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,32,64,7.329,385,64,65,256,384,8000738
PrefixSum,2,4096,40000000,32,64,8.601,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,32,128,4.054,769,128,129,512,768,8000738
PrefixSum,2,4096,40000000,32,128,5.265,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,32,256,4.041,1281,256,257,768,1280,8000738
PrefixSum,2,4096,40000000,32,256,3.121,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,128,64,2.640,1281,256,257,768,1280,8000738
PrefixSum,2,4096,40000000,128,64,2.863,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,128,128,2.096,2050,512,514,1024,2049,8000738
PrefixSum,2,4096,40000000,128,128,5.014,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,40000000,128,256,2.709,3074,1024,1026,1024,3073,8000738
PrefixSum,2,4096,40000000,128,256,7.145,0,0,0,0,0,8000738
WarpLevel (Gallatin),2,4096,400000000,1,64,2174.433,31,2,3,26,30,80000786
PrefixSum,2,4096,400000000,1,64,2368.358,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,1,128,1169.353,57,4,5,48,56,80000786
PrefixSum,2,4096,400000000,1,128,1240.121,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,1,256,590.925,105,8,9,88,104,80000786
PrefixSum,2,4096,400000000,1,256,612.670,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,8,64,291.997,193,16,17,160,192,80000786
PrefixSum,2,4096,400000000,8,64,292.100,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,8,128,137.810,353,32,33,288,352,80000786
PrefixSum,2,4096,400000000,8,128,148.639,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,8,256,71.225,641,64,65,512,640,80000786
PrefixSum,2,4096,400000000,8,256,86.454,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,32,64,69.000,641,64,65,512,640,80000786
PrefixSum,2,4096,400000000,32,64,76.019,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,32,128,36.480,1153,128,129,896,1152,80000786
PrefixSum,2,4096,400000000,32,128,41.597,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,32,256,36.029,2050,256,258,1536,2049,80000786
PrefixSum,2,4096,400000000,32,256,27.305,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,128,64,20.450,2050,256,258,1536,2049,80000786
PrefixSum,2,4096,400000000,128,64,25.834,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,128,128,24.227,3587,512,515,2560,3586,80000786
PrefixSum,2,4096,400000000,128,128,48.860,0,0,0,0,0,80000786
WarpLevel (Gallatin),2,4096,400000000,128,256,23.716,6148,1024,1028,4096,6147,80000786
PrefixSum,2,4096,400000000,128,256,74.531,0,0,0,0,0,80000786
WarpLevel (Gallatin),5,4096,4000,1,64,0.047,5,2,3,0,4,784
PrefixSum,5,4096,4000,1,64,0.068,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,1,128,0.038,9,4,5,0,8,784
PrefixSum,5,4096,4000,1,128,0.052,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,1,256,0.038,17,8,9,0,16,784
PrefixSum,5,4096,4000,1,256,0.046,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,8,64,0.032,33,16,17,0,32,784
PrefixSum,5,4096,4000,8,64,0.050,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,8,128,0.035,65,32,33,0,64,784
PrefixSum,5,4096,4000,8,128,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,8,256,0.048,129,64,65,0,128,784
PrefixSum,5,4096,4000,8,256,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,32,64,0.066,129,64,65,0,128,784
PrefixSum,5,4096,4000,32,64,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,32,128,0.081,257,128,129,0,256,784
PrefixSum,5,4096,4000,32,128,0.043,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,32,256,0.121,513,256,257,0,512,784
PrefixSum,5,4096,4000,32,256,0.044,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,128,64,0.242,513,256,257,0,512,784
PrefixSum,5,4096,4000,128,64,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,128,128,0.304,1025,512,513,0,1024,784
PrefixSum,5,4096,4000,128,128,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,4000,128,256,0.440,2049,1024,1025,0,2048,784
PrefixSum,5,4096,4000,128,256,0.042,0,0,0,0,0,784
WarpLevel (Gallatin),5,4096,40000,1,64,0.266,5,2,3,0,4,7962
PrefixSum,5,4096,40000,1,64,0.319,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,1,128,0.149,9,4,5,0,8,7962
PrefixSum,5,4096,40000,1,128,0.184,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,1,256,0.096,17,8,9,0,16,7962
PrefixSum,5,4096,40000,1,256,0.114,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,8,64,0.063,33,16,17,0,32,7962
PrefixSum,5,4096,40000,8,64,0.076,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,8,128,0.049,65,32,33,0,64,7962
PrefixSum,5,4096,40000,8,128,0.059,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,8,256,0.055,129,64,65,0,128,7962
PrefixSum,5,4096,40000,8,256,0.050,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,32,64,0.069,129,64,65,0,128,7962
PrefixSum,5,4096,40000,32,64,0.049,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,32,128,0.081,257,128,129,0,256,7962
PrefixSum,5,4096,40000,32,128,0.046,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,32,256,0.117,513,256,257,0,512,7962
PrefixSum,5,4096,40000,32,256,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,128,64,0.225,513,256,257,0,512,7962
PrefixSum,5,4096,40000,128,64,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,128,128,0.292,1025,512,513,0,1024,7962
PrefixSum,5,4096,40000,128,128,0.043,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,40000,128,256,0.423,2049,1024,1025,0,2048,7962
PrefixSum,5,4096,40000,128,256,0.042,0,0,0,0,0,7962
WarpLevel (Gallatin),5,4096,4000000,1,64,46.701,17,2,3,12,16,799948
PrefixSum,5,4096,4000000,1,64,53.787,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,1,128,18.603,29,4,5,20,28,799948
PrefixSum,5,4096,4000000,1,128,26.529,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,1,256,9.544,49,8,9,32,48,799948
PrefixSum,5,4096,4000000,1,256,13.594,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,8,64,4.681,81,16,17,48,80,799948
PrefixSum,5,4096,4000000,8,64,6.864,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,8,128,2.382,129,32,33,64,128,799948
PrefixSum,5,4096,4000000,8,128,3.484,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,8,256,1.280,257,64,65,128,256,799948
PrefixSum,5,4096,4000000,8,256,1.856,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,32,64,1.256,257,64,65,128,256,799948
PrefixSum,5,4096,4000000,32,64,1.810,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,32,128,0.701,385,128,129,128,384,799948
PrefixSum,5,4096,4000000,32,128,1.008,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,32,256,0.652,513,256,257,0,512,799948
PrefixSum,5,4096,4000000,32,256,0.652,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,128,64,0.536,513,256,257,0,512,799948
PrefixSum,5,4096,4000000,128,64,0.622,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,128,128,0.490,1025,512,513,0,1024,799948
PrefixSum,5,4096,4000000,128,128,0.561,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,4000000,128,256,0.537,2049,1024,1025,0,2048,799948
PrefixSum,5,4096,4000000,128,256,0.736,0,0,0,0,0,799948
WarpLevel (Gallatin),5,4096,40000000,1,64,419.150,23,2,3,18,22,8000738
PrefixSum,5,4096,40000000,1,64,607.846,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,4096,40000000,1,128,194.656,41,4,5,32,40,8000738
PrefixSum,5,4096,40000000,1,128,280.078,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,4096,40000000,1,256,98.812,73,8,9,56,72,8000738
PrefixSum,5,4096,40000000,1,256,170.752,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,4096,40000000,8,64,54.140,129,16,17,96,128,8000738
PrefixSum,5,4096,40000000,8,64,76.009,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,4096,40000000,8,128,25.488,225,32,33,160,224,8000738
PrefixSum,5,4096,40000000,8,128,33.483,0,0,0,0,0,8000738
WarpLevel (Gallatin),5,4096,40000000,8,256,14.582,385,64,65,256,384,8000738
PrefixSum,5,4096,40000000,8,256,25.000,0,0,0,0,0,8000738
